name,price,stock,brand,link,labels
Erdinger Hefe Weissbier,2050,25,Erdinger,https://live.nemligstatic.com/scommerce/images/erdinger-hefe-weissbier.jpg?i=euFPwLCY/5016517&w=623&h=623&mode=pad,Tyskland;Hvedeøl;Specialøl
Grimbergen Double,1995,51,Grimbergen,https://live.nemligstatic.com/scommerce/images/grimbergen-double.jpg?i=gySsUHew/5016522&w=623&h=623&mode=pad,Belgien;Specialøl
Leffe blond,3500,57,Leffe,https://live.nemligstatic.com/scommerce/images/leffe-blond.jpg?i=euFPwLCY/5016501&w=623&h=623&mode=pad,Hvedeøl;Specialøl;Belgien
Erdinger,2050,64,Erdinger,https://live.nemligstatic.com/scommerce/images/erdinger.jpg?i=euFPwLCY/5016519&w=623&h=623&mode=pad,Alkoholfri;Tyskland;Hvedeøl;Specialøl
Stella Artois,1295,57,Stella Artois,https://live.nemligstatic.com/scommerce/images/stella-artois.jpg?i=Qj-x-2an/5022690&w=623&h=623&mode=pad,Belgien;Specialøl
Nordic Pilsner (dåse),3600,36,Carlsberg,https://live.nemligstatic.com/scommerce/images/nordic-pilsner-daase.jpg?i=NYvKZc54/5014025&w=623&h=623&mode=pad,Alkoholfri;Discount;Lys øl;Specialøl
Nordic ale (dåse),5100,33,Carlsberg,https://live.nemligstatic.com/scommerce/images/nordic-ale-daase.jpg?i=NYvKZc54/5039598&w=623&h=623&mode=pad,Alkoholfri;Øl
Deo roll-on,2000,44,Neutral,https://live.nemligstatic.com/scommerce/images/deo-roll-on.jpg?i=CaYrbuDt/100044&w=623&h=623&mode=pad,AllergyCertified;Den Blå Krans;Discount;Parfumefri;Deodorant;Roll-on
Barbergel Pure & Delicate,3500,50,Gillette,https://live.nemligstatic.com/scommerce/images/barbergel-pure-delicate.jpg?i=Qj-x-2an/105778&w=623&h=623&mode=pad,Satin Care;Venus;Barberskum;Parfumefri
Intimsæbe,1400,37,Grøn Balance,https://live.nemligstatic.com/scommerce/images/intimsaebe.jpg?i=Hd5uDGt1/5012149&w=623&h=623&mode=pad,Den Blå Krans;Discount;Parfumefri;Svanemærket;Intimpleje
Håndsæbe refill (flydende),1925,42,Grøn Balance,https://live.nemligstatic.com/scommerce/images/haandsaebe-refill-flydende.jpg?i=Hd5uDGt1/5012145&w=623&h=623&mode=pad,Den Blå Krans;Discount;Parfumefri;Svanemærket;Håndsæbe
Læbepomade,997,30,Grøn Balance,https://live.nemligstatic.com/scommerce/images/laebepomade.jpg?i=8Q9behz1/5012153&w=623&h=623&mode=pad,Den Blå Krans;Discount;Parfumefri;Svanemærket;Læbepomade
Dagcreme,2395,59,Grøn Balance,https://live.nemligstatic.com/scommerce/images/dagcreme.jpg?i=v5wL5iP9/5035572&w=623&h=623&mode=pad,Den Blå Krans;Discount;Parfumefri;Svanemærket;Ansigtscreme
Shampoo (normalt hår),2000,51,Neutral,https://live.nemligstatic.com/scommerce/images/shampoo-normalt-haar.jpg?i=tjvizOn2/922025&w=623&h=623&mode=pad,Hårpleje;Normalt hår;AllergyCertified;Den Blå Krans;Discount;Parfumefri;Svanemærket;Shampoo
Balsam (alle hårtyper),2000,62,Neutral,https://live.nemligstatic.com/scommerce/images/balsam-alle-haartyper.jpg?i=tjvizOn2/922029&w=623&h=623&mode=pad,AllergyCertified;Den Blå Krans;Discount;Parfumefri;Svanemærket;Balsam;Hårpleje
Voks,5900,66,Id HAIR,https://live.nemligstatic.com/scommerce/images/voks.jpg?i=1Pfl1qq6/5045502&w=623&h=623&mode=pad,Discount;Alle hårtyper;Styling;Hårvoks
Tørshampoo,3700,54,Schwarzkopf,https://live.nemligstatic.com/scommerce/images/toershampoo.jpg?i=taXP79XU/5029421&w=623&h=623&mode=pad,Got2b;Hårpleje;Shampoo;Styling;Discount
Dametrusse maxi str. M,6495,52,Symfoni,https://live.nemligstatic.com/scommerce/images/dametrusse-maxi-str-m.jpg?i=Qj-x-2an/2301290&w=623&h=623&mode=pad,Undertøj
Kinasko str. 44,4995,28,JBS,https://live.nemligstatic.com/scommerce/images/kinasko-str-44.jpg?i=Qj-x-2an/101678&w=623&h=623&mode=pad,Sort;Sutsko
Knæstrømper str. one size,1995,61,Symfoni,https://live.nemligstatic.com/scommerce/images/knaestroemper-str-one-size.jpg?i=pqKGcRyU/5018112&w=623&h=623&mode=pad,Discount;One size;Strømper
Kinasko str. 36,4995,30,JBS,https://live.nemligstatic.com/scommerce/images/kinasko-str-36.jpg?i=Qj-x-2an/5018907&w=623&h=623&mode=pad,Sort;Sutsko
